s(1/A)      f0_exact        f0_model        f0_exact-f0_model
0.970000  7.6923438192e-03  7.6923256564e-03  1.816e-08
0.980000  7.4095097157e-03  7.4094889079e-03  2.081e-08
0.990000  7.1393243092e-03  7.1393022323e-03  2.208e-08
1.000000  6.8811274104e-03  6.8811054740e-03  2.194e-08
1.010000  6.6342978944e-03  6.6342774523e-03  2.044e-08
1.020000  6.3982511382e-03  6.3982334082e-03  1.773e-08
1.030000  6.1724366394e-03  6.1724226368e-03  1.400e-08
1.040000  5.9563358059e-03  5.9563262933e-03  9.513e-09
1.050000  5.7494599009e-03  5.7494553558e-03  4.545e-09
1.060000  5.5513481322e-03  5.5513487339e-03  -6.017e-10
1.070000  5.3615658760e-03  5.3615715097e-03  -5.634e-09
1.080000  5.1797030232e-03  5.1797133003e-03  -1.028e-08
1.090000  5.0053724399e-03  5.0053867325e-03  -1.429e-08
1.100000  4.8382085350e-03  4.8382260205e-03  -1.749e-08
1.110000  4.6778659237e-03  4.6778856374e-03  -1.971e-08
1.120000  4.5240181831e-03  4.5240390753e-03  -2.089e-08
1.130000  4.3763566915e-03  4.3763776847e-03  -2.099e-08
1.140000  4.2345895453e-03  4.2346095899e-03  -2.004e-08
1.150000  4.0984405487e-03  4.0984586735e-03  -1.812e-08
1.160000  3.9676482695e-03  3.9676636260e-03  -1.536e-08
1.170000  3.8419651585e-03  3.8419770557e-03  -1.190e-08
1.180000  3.7211567254e-03  3.7211646555e-03  -7.930e-09
1.190000  3.6050007688e-03  3.6050044230e-03  -3.654e-09
1.200000  3.4932866568e-03  3.4932859306e-03  7.262e-10
1.210000  3.3858146529e-03  3.3858096417e-03  5.011e-09
1.220000  3.2823952854e-03  3.2823862719e-03  9.013e-09
1.230000  3.1828487576e-03  3.1828361909e-03  1.257e-08
1.240000  3.0870043943e-03  3.0869888636e-03  1.553e-08
1.250000  2.9947001240e-03  2.9946823275e-03  1.780e-08
1.260000  2.9057819928e-03  2.9057627036e-03  1.929e-08
1.270000  2.8201037094e-03  2.8200837405e-03  1.997e-08
1.280000  2.7375262170e-03  2.7375063864e-03  1.983e-08
1.290000  2.6579172930e-03  2.6578983904e-03  1.890e-08
1.300000  2.5811511718e-03  2.5811339289e-03  1.724e-08
1.310000  2.5071081917e-03  2.5070932553e-03  1.494e-08
1.320000  2.4356744621e-03  2.4356623731e-03  1.209e-08
1.330000  2.3667415514e-03  2.3667327283e-03  8.823e-09
1.340000  2.3002061934e-03  2.3002009216e-03  5.272e-09
1.350000  2.2359700109e-03  2.2359684374e-03  1.573e-09
1.360000  2.1739392561e-03  2.1739413896e-03  -2.134e-09
1.370000  2.1140245654e-03  2.1140302816e-03  -5.716e-09
1.380000  2.0561407297e-03  2.0561497807e-03  -9.051e-09
1.390000  2.0002064771e-03  2.0002185050e-03  -1.203e-08
1.400000  1.9461442682e-03  1.9461588219e-03  -1.455e-08
1.410000  1.8938801039e-03  1.8938966580e-03  -1.655e-08
1.420000  1.8433433434e-03  1.8433613188e-03  -1.798e-08
1.430000  1.7944665329e-03  1.7944853179e-03  -1.879e-08
1.440000  1.7471852438e-03  1.7472042158e-03  -1.897e-08
1.450000  1.7014379203e-03  1.7014564661e-03  -1.855e-08
1.460000  1.6571657349e-03  1.6571832703e-03  -1.754e-08
1.470000  1.6143124527e-03  1.6143284395e-03  -1.599e-08
1.480000  1.5728243026e-03  1.5728382642e-03  -1.396e-08
1.490000  1.5326498560e-03  1.5326613894e-03  -1.153e-08
1.500000  1.4937399115e-03  1.4937486971e-03  -8.786e-09
1.510000  1.4560473866e-03  1.4560531950e-03  -5.808e-09
1.520000  1.4195272152e-03  1.4195299102e-03  -2.695e-09
1.530000  1.3841362495e-03  1.3841357894e-03  4.601e-10
1.540000  1.3498331688e-03  1.3498296039e-03  3.565e-09
1.550000  1.3165783921e-03  1.3165718599e-03  6.532e-09
1.560000  1.2843339952e-03  1.2843247139e-03  9.281e-09
1.570000  1.2530636332e-03  1.2530518922e-03  1.174e-08
1.580000  1.2227324656e-03  1.2227186155e-03  1.385e-08
1.590000  1.1933070869e-03  1.1932915274e-03  1.556e-08
1.600000  1.1647554592e-03  1.1647386269e-03  1.683e-08
1.610000  1.1370468496e-03  1.1370292050e-03  1.764e-08
1.620000  1.1101517701e-03  1.1101337846e-03  1.799e-08
1.630000  1.0840419204e-03  1.0840240636e-03  1.786e-08
1.640000  1.0586901345e-03  1.0586728623e-03  1.727e-08
1.650000  1.0340703290e-03  1.0340540723e-03  1.626e-08
1.660000  1.0101574546e-03  1.0101426091e-03  1.485e-08
1.670000  9.8692744956e-04  9.8691436749e-04  1.308e-08
1.680000  9.6435719618e-04  9.6434617863e-04  1.102e-08
1.690000  9.4242447868e-04  9.4241577011e-04  8.709e-09
1.700000  9.2110794353e-04  9.2110172771e-04  6.216e-09
1.710000  9.0038706175e-04  9.0038345929e-04  3.602e-09
1.720000  8.8024209286e-04  8.8024116042e-04  9.324e-10
1.730000  8.6065405076e-04  8.6065578174e-04  -1.731e-09
1.740000  8.4160467109e-04  8.4160899783e-04  -4.327e-09
1.750000  8.2307638029e-04  8.2308317753e-04  -6.797e-09
1.760000  8.0505226610e-04  8.0506135560e-04  -9.090e-09
1.770000  7.8751604938e-04  7.8752720560e-04  -1.116e-08
1.780000  7.7045205739e-04  7.7046501392e-04  -1.296e-08
1.790000  7.5384519823e-04  7.5385965490e-04  -1.446e-08
1.800000  7.3768093652e-04  7.3769656695e-04  -1.563e-08
1.810000  7.2194527023e-04  7.2196172961e-04  -1.646e-08
1.820000  7.0662470852e-04  7.0664164152e-04  -1.693e-08
1.830000  6.9170625066e-04  6.9172329921e-04  -1.705e-08
1.840000  6.7717736590e-04  6.7719417670e-04  -1.681e-08
1.850000  6.6302597428e-04  6.6304220595e-04  -1.623e-08
1.860000  6.4924042825e-04  6.4925575793e-04  -1.533e-08
1.870000  6.3580949519e-04  6.3582362451e-04  -1.413e-08
1.880000  6.2272234072e-04  6.2273500102e-04  -1.266e-08
1.890000  6.0996851266e-04  6.0997946948e-04  -1.096e-08
1.900000  5.9753792585e-04  5.9754698249e-04  -9.057e-09
1.910000  5.8542084754e-04  5.8542784777e-04  -7.000e-09
1.920000  5.7360788346e-04  5.7361271339e-04  -4.830e-09
1.930000  5.6208996448e-04  5.6209255351e-04  -2.589e-09
1.940000  5.5085833394e-04  5.5085865481e-04  -3.209e-10
1.950000  5.3990453539e-04  5.3990260352e-04  1.932e-09
1.960000  5.2922040099e-04  5.2921627295e-04  4.128e-09
1.970000  5.1879804036e-04  5.1879181169e-04  6.229e-09
1.980000  5.0862982990e-04  5.0862163228e-04  8.198e-09
1.990000  4.9870840256e-04  4.9869840047e-04  1.000e-08
2.000000  4.8902663813e-04  4.8901502496e-04  1.161e-08
2.010000  4.7957765380e-04  4.7956464771e-04  1.301e-08
2.020000  4.7035479524e-04  4.7034063463e-04  1.416e-08
2.030000  4.6135162804e-04  4.6133656688e-04  1.506e-08
2.040000  4.5256192940e-04  4.5254623245e-04  1.570e-08
2.050000  4.4397968032e-04  4.4396361836e-04  1.606e-08
2.060000  4.3559905801e-04  4.3558290310e-04  1.615e-08
2.070000  4.2741442868e-04  4.2739844956e-04  1.598e-08
2.080000  4.1942034051e-04  4.1940479831e-04  1.554e-08
2.090000  4.1161151710e-04  4.1159666120e-04  1.486e-08
2.100000  4.0398285100e-04  4.0396891530e-04  1.394e-08
2.110000  3.9652939760e-04  3.9651659717e-04  1.280e-08
2.120000  3.8924636926e-04  3.8923489740e-04  1.147e-08
2.130000  3.8212912965e-04  3.8211915538e-04  9.974e-09
2.140000  3.7517318836e-04  3.7516485439e-04  8.334e-09
2.150000  3.6837419565e-04  3.6836761684e-04  6.579e-09
2.160000  3.6172793748e-04  3.6172319980e-04  4.738e-09
2.170000  3.5523033074e-04  3.5522749065e-04  2.840e-09
2.180000  3.4887741858e-04  3.4887650295e-04  9.156e-10
