s(1/A)      f0_exact        f0_model        f0_exact-f0_model
4.270000  2.4370584742e-05  2.4371262156e-05  -6.774e-10
4.280000  2.4144731909e-05  2.4146303904e-05  -1.572e-09
4.290000  2.3921486822e-05  2.3923943665e-05  -2.457e-09
4.300000  2.3700813469e-05  2.3704140661e-05  -3.327e-09
4.310000  2.3482676415e-05  2.3486854786e-05  -4.178e-09
4.320000  2.3267040792e-05  2.3272046621e-05  -5.006e-09
4.330000  2.3053872291e-05  2.3059677445e-05  -5.805e-09
4.340000  2.2843137149e-05  2.2849709249e-05  -6.572e-09
4.350000  2.2634802143e-05  2.2642104743e-05  -7.303e-09
4.360000  2.2428834573e-05  2.2436827371e-05  -7.993e-09
4.370000  2.2225202260e-05  2.2233841320e-05  -8.639e-09
4.380000  2.2023873534e-05  2.2033111524e-05  -9.238e-09
4.390000  2.1824817224e-05  2.1834603677e-05  -9.786e-09
4.400000  2.1628002648e-05  2.1638284234e-05  -1.028e-08
4.410000  2.1433399607e-05  2.1444120423e-05  -1.072e-08
4.420000  2.1240978376e-05  2.1252080240e-05  -1.110e-08
4.430000  2.1050709693e-05  2.1062132457e-05  -1.142e-08
4.440000  2.0862564753e-05  2.0874246621e-05  -1.168e-08
4.450000  2.0676515201e-05  2.0688393057e-05  -1.188e-08
4.460000  2.0492533118e-05  2.0504542858e-05  -1.201e-08
4.470000  2.0310591023e-05  2.0322667890e-05  -1.208e-08
4.480000  2.0130661856e-05  2.0142740781e-05  -1.208e-08
4.490000  1.9952718976e-05  1.9964734920e-05  -1.202e-08
4.500000  1.9776736151e-05  1.9788624444e-05  -1.189e-08
4.510000  1.9602687554e-05  1.9614384229e-05  -1.170e-08
4.520000  1.9430547751e-05  1.9441989883e-05  -1.144e-08
4.530000  1.9260291700e-05  1.9271417729e-05  -1.113e-08
4.540000  1.9091894739e-05  1.9102644795e-05  -1.075e-08
4.550000  1.8925332581e-05  1.8935648796e-05  -1.032e-08
4.560000  1.8760581311e-05  1.8770408116e-05  -9.827e-09
4.570000  1.8597617374e-05  1.8606901794e-05  -9.284e-09
4.580000  1.8436417572e-05  1.8445109502e-05  -8.692e-09
4.590000  1.8276959057e-05  1.8285011526e-05  -8.052e-09
4.600000  1.8119219327e-05  1.8126588743e-05  -7.369e-09
4.610000  1.7963176215e-05  1.7969822597e-05  -6.646e-09
4.620000  1.7808807889e-05  1.7814695081e-05  -5.887e-09
4.630000  1.7656092843e-05  1.7661188704e-05  -5.096e-09
4.640000  1.7505009892e-05  1.7509286473e-05  -4.277e-09
4.650000  1.7355538168e-05  1.7358971863e-05  -3.434e-09
4.660000  1.7207657111e-05  1.7210228790e-05  -2.572e-09
4.670000  1.7061346469e-05  1.7063041583e-05  -1.695e-09
4.680000  1.6916586288e-05  1.6917394962e-05  -8.087e-10
4.690000  1.6773356910e-05  1.6773274000e-05  8.291e-11
4.700000  1.6631638965e-05  1.6630664101e-05  9.749e-10
4.710000  1.6491413370e-05  1.6489550970e-05  1.862e-09
4.720000  1.6352661323e-05  1.6349920583e-05  2.741e-09
4.730000  1.6215364295e-05  1.6211759160e-05  3.605e-09
4.740000  1.6079504030e-05  1.6075053134e-05  4.451e-09
4.750000  1.5945062538e-05  1.5939789123e-05  5.273e-09
4.760000  1.5812022090e-05  1.5805953905e-05  6.068e-09
4.770000  1.5680365217e-05  1.5673534386e-05  6.831e-09
4.780000  1.5550074701e-05  1.5542517574e-05  7.557e-09
4.790000  1.5421133574e-05  1.5412890557e-05  8.243e-09
4.800000  1.5293525114e-05  1.5284640471e-05  8.885e-09
4.810000  1.5167232840e-05  1.5157754477e-05  9.478e-09
4.820000  1.5042240506e-05  1.5032219742e-05  1.002e-08
4.830000  1.4918532102e-05  1.4908023409e-05  1.051e-08
4.840000  1.4796091847e-05  1.4785152580e-05  1.094e-08
4.850000  1.4674904183e-05  1.4663594292e-05  1.131e-08
4.860000  1.4554953777e-05  1.4543335505e-05  1.162e-08
4.870000  1.4436225514e-05  1.4424363074e-05  1.186e-08
4.880000  1.4318704492e-05  1.4306663740e-05  1.204e-08
4.890000  1.4202376022e-05  1.4190224115e-05  1.215e-08
4.900000  1.4087225623e-05  1.4075030663e-05  1.219e-08
4.910000  1.3973239018e-05  1.3961069697e-05  1.217e-08
4.920000  1.3860402131e-05  1.3848327361e-05  1.207e-08
4.930000  1.3748701084e-05  1.3736789627e-05  1.191e-08
4.940000  1.3638122195e-05  1.3626442287e-05  1.168e-08
4.950000  1.3528651973e-05  1.3517270950e-05  1.138e-08
4.960000  1.3420277116e-05  1.3409261034e-05  1.102e-08
4.970000  1.3312984508e-05  1.3302397775e-05  1.059e-08
4.980000  1.3206761214e-05  1.3196666219e-05  1.009e-08
4.990000  1.3101594481e-05  1.3092051228e-05  9.543e-09
5.000000  1.2997471732e-05  1.2988537489e-05  8.934e-09
5.010000  1.2894380564e-05  1.2886109514e-05  8.271e-09
5.020000  1.2792308746e-05  1.2784751654e-05  7.557e-09
5.030000  1.2691244215e-05  1.2684448107e-05  6.796e-09
5.040000  1.2591175075e-05  1.2585182933e-05  5.992e-09
5.050000  1.2492089593e-05  1.2486940065e-05  5.150e-09
5.060000  1.2393976197e-05  1.2389703326e-05  4.273e-09
5.070000  1.2296823473e-05  1.2293456451e-05  3.367e-09
5.080000  1.2200620163e-05  1.2198183100e-05  2.437e-09
5.090000  1.2105355164e-05  1.2103866883e-05  1.488e-09
5.100000  1.2011017523e-05  1.2010491383e-05  5.261e-10
5.110000  1.1917596434e-05  1.1918040178e-05  -4.437e-10
5.120000  1.1825081240e-05  1.1826496868e-05  -1.416e-09
5.130000  1.1733461428e-05  1.1735845101e-05  -2.384e-09
5.140000  1.1642726626e-05  1.1646068601e-05  -3.342e-09
5.150000  1.1552866602e-05  1.1557151198e-05  -4.285e-09
5.160000  1.1463871261e-05  1.1469076858e-05  -5.206e-09
5.170000  1.1375730645e-05  1.1381829711e-05  -6.099e-09
5.180000  1.1288434930e-05  1.1295394089e-05  -6.959e-09
5.190000  1.1201974421e-05  1.1209754552e-05  -7.780e-09
5.200000  1.1116339553e-05  1.1124895921e-05  -8.556e-09
5.210000  1.1031520890e-05  1.1040803319e-05  -9.282e-09
5.220000  1.0947509121e-05  1.0957462192e-05  -9.953e-09
5.230000  1.0864295058e-05  1.0874858352e-05  -1.056e-08
5.240000  1.0781869634e-05  1.0792978008e-05  -1.111e-08
5.250000  1.0700223904e-05  1.0711807794e-05  -1.158e-08
5.260000  1.0619349039e-05  1.0631334807e-05  -1.199e-08
5.270000  1.0539236329e-05  1.0551546638e-05  -1.231e-08
5.280000  1.0459877175e-05  1.0472431397e-05  -1.255e-08
5.290000  1.0381263093e-05  1.0393977751e-05  -1.271e-08
5.300000  1.0303385711e-05  1.0316174949e-05  -1.279e-08
5.310000  1.0226236764e-05  1.0239012846e-05  -1.278e-08
5.320000  1.0149808098e-05  1.0162481935e-05  -1.267e-08
5.330000  1.0074091662e-05  1.0086573364e-05  -1.248e-08
5.340000  9.9990795113e-06  1.0011278965e-05  -1.220e-08
5.350000  9.9247638049e-06  9.9365912661e-06  -1.183e-08
5.360000  9.8511368025e-06  9.8625035160e-06  -1.137e-08
5.370000  9.7781908642e-06  9.7890096916e-06  -1.082e-08
5.380000  9.7059184486e-06  9.7161045161e-06  -1.019e-08
5.390000  9.6343121116e-06  9.6437834622e-06  -9.471e-09
5.400000  9.5633645049e-06  9.5720427613e-06  -8.678e-09
5.410000  9.4930683744e-06  9.5008794033e-06  -7.811e-09
5.420000  9.4234165592e-06  9.4302911361e-06  -6.875e-09
5.430000  9.3544019896e-06  9.3602764580e-06  -5.874e-09
5.440000  9.2860176866e-06  9.2908346108e-06  -4.817e-09
5.450000  9.2182567600e-06  9.2219655612e-06  -3.709e-09
5.460000  9.1511124072e-06  9.1536699870e-06  -2.558e-09
5.470000  9.0845779120e-06  9.0859492492e-06  -1.371e-09
5.480000  9.0186466435e-06  9.0188053659e-06  -1.587e-10
5.490000  8.9533120546e-06  8.9522409762e-06  1.071e-09
5.500000  8.8885676809e-06  8.8862593036e-06  2.308e-09
5.510000  8.8244071394e-06  8.8208641086e-06  3.543e-09
5.520000  8.7608241277e-06  8.7560596378e-06  4.764e-09
5.530000  8.6978124225e-06  8.6918505692e-06  5.962e-09
5.540000  8.6353658783e-06  8.6282419456e-06  7.124e-09
5.550000  8.5734784269e-06  8.5652391070e-06  8.239e-09
5.560000  8.5121440756e-06  8.5028476139e-06  9.296e-09
5.570000  8.4513569069e-06  8.4410731627e-06  1.028e-08
5.580000  8.3911110765e-06  8.3799214957e-06  1.119e-08
5.590000  8.3314008130e-06  8.3193983037e-06  1.200e-08
5.600000  8.2722204167e-06  8.2595091200e-06  1.271e-08
5.610000  8.2135642583e-06  8.2002592072e-06  1.331e-08
5.620000  8.1554267783e-06  8.1416534369e-06  1.377e-08
5.630000  8.0978024856e-06  8.0836961607e-06  1.411e-08
5.640000  8.0406859570e-06  8.0263910729e-06  1.429e-08
5.650000  7.9840718359e-06  7.9697410647e-06  1.433e-08
5.660000  7.9279548314e-06  7.9137480713e-06  1.421e-08
5.670000  7.8723297175e-06  7.8584129081e-06  1.392e-08
5.680000  7.8171913323e-06  7.8037350993e-06  1.346e-08
5.690000  7.7625345767e-06  7.7497126982e-06  1.282e-08
5.700000  7.7083544141e-06  7.6963420976e-06  1.201e-08
5.710000  7.6546458688e-06  7.6436178291e-06  1.103e-08
5.720000  7.6014040258e-06  7.5915323581e-06  9.872e-09
5.730000  7.5486240299e-06  7.5400758626e-06  8.548e-09
5.740000  7.4963010843e-06  7.4892360095e-06  7.065e-09
5.750000  7.4444304504e-06  7.4389977144e-06  5.433e-09
5.760000  7.3930074469e-06  7.3893428968e-06  3.665e-09
5.770000  7.3420274487e-06  7.3402502223e-06  1.777e-09
5.780000  7.2914858863e-06  7.2916948372e-06  -2.090e-10
5.790000  7.2413782454e-06  7.2436480896e-06  -2.270e-09
5.800000  7.1917000653e-06  7.1960772448e-06  -4.377e-09
5.810000  7.1424469392e-06  7.1489451866e-06  -6.498e-09
5.820000  7.0936145125e-06  7.1022101106e-06  -8.596e-09
5.830000  7.0451984828e-06  7.0558252061e-06  -1.063e-08
5.840000  6.9971945988e-06  7.0097383281e-06  -1.254e-08
5.850000  6.9495986597e-06  6.9638916589e-06  -1.429e-08
5.860000  6.9024065148e-06  6.9182213588e-06  -1.581e-08
5.870000  6.8556140622e-06  6.8726572078e-06  -1.704e-08
5.880000  6.8092172487e-06  6.8271222342e-06  -1.790e-08
5.890000  6.7632120690e-06  6.7815323352e-06  -1.832e-08
5.900000  6.7175945648e-06  6.7357958858e-06  -1.820e-08
5.910000  6.6723608245e-06  6.6898133378e-06  -1.745e-08
5.920000  6.6275069825e-06  6.6434768083e-06  -1.597e-08
5.930000  6.5830292185e-06  6.5966696561e-06  -1.364e-08
5.940000  6.5389237568e-06  6.5492660509e-06  -1.034e-08
5.950000  6.4951868659e-06  6.5011305291e-06  -5.944e-09
5.960000  6.4518148579e-06  6.4521175421e-06  -3.027e-10
5.970000  6.4088040879e-06  6.4020709903e-06  6.733e-09
5.980000  6.3661509531e-06  6.3508237520e-06  1.533e-08
5.990000  6.3238518929e-06  6.2981971981e-06  2.565e-08
6.000000  6.2819033877e-06  6.2440006985e-06  3.790e-08
